Name,X,Y,A,B,C,D,E,F,Signal
103,-111.15545,39.36441,0.17733313,0.06003002,9.143838e-6,0.00881201,0.3736606,0.1806363,A
104,-111.101,39.5183,0.0,0.0,0.06992578,0.0,0.41801882,0.11644582,E
105,-111.101,39.51913,0.018428445,0.06900546,0.04252056,0.06994273,0.3767497,0.05741329,E
106,-111.17017,39.32469,0.042229276,0.06622092,0.0,0.037162747,0.46105006,0.16954191,E
107,-111.10934,39.50108,0.014464675,0.03939105,0.029429715,0.20943806,0.33852613,0.15105431,E
108,-111.161,39.35608,0.004699327,0.071880095,0.039737087,0.1021112,0.39641303,0.051626243,E
109,-111.0935,39.54774,0.03702196,0.1351009,0.018041462,0.0011878695,0.3004997,0.17662868,E
110,-111.02378,39.74524,0.08328753,0.038777832,0.11671139,0.0008643015,0.32607585,0.123855606,E
111,-111.09545,39.54802,0.11445075,0.13569874,0.006817081,0.020406408,0.2613239,0.20119895,A
112,-111.101,39.53441,0.0,0.0,0.07588534,0.0,0.46812874,0.10807817,E
113,-111.15573,39.3808,0.020115029,0.062940314,0.049758308,0.12675261,0.44570583,0.044475872,E
114,-111.12489,39.46858,0.029879054,0.09930121,0.010105075,0.040589076,0.50081754,0.0707205,E
115,-111.15628,39.38135,0.11877864,0.019358233,0.0484875,0.0,0.32856664,0.13759138,E
116,-111.17156,39.33858,0.025965631,0.038056836,0.042354766,0.03157988,0.5231343,0.116026245,E
117,-111.17184,39.33885,0.0014344363,0.041075353,0.046566535,0.13041711,0.48872906,0.09874469,E
118,-111.10017,39.54358,0.0014891357,0.087957166,0.05911514,0.0,0.35820794,0.16775203,E
119,-111.15156,39.40024,0.14608629,0.060365517,0.0,0.0042834287,0.39054248,0.18323596,E
120,-111.10461,39.53302,0.009510647,0.0,0.070651665,0.0,0.44933096,0.12747602,E
121,-111.16295,39.36941,0.058915704,1.4360232e-7,0.06280242,0.0,0.36909458,0.14343746,E
122,-111.12073,39.49219,0.0,4.9255336e-6,0.06497493,0.0,0.44236574,0.13861522,E
123,-111.11823,39.5008,0.0,0.034993492,0.034715522,0.009562303,0.3893445,0.14384222,E
124,-111.116,39.50969,0.033502,0.08842542,0.028685922,0.082243696,0.36076453,0.04980581,E
125,-111.11545,39.51135,0.0,0.081570856,0.0,0.0032689313,0.3986815,0.13293648,E
126,-111.17878,39.3333,0.48037863,0.018523172,0.033659928,0.0012534797,0.16724963,0.17638052,A
127,-111.1085,39.53247,0.023816919,0.0,0.06575322,0.0,0.43534186,0.14184503,E
128,-111.17795,39.33691,0.023549017,0.042272102,0.058142625,0.035657845,0.47234988,0.06625133,E
129,-111.12739,39.48024,0.0,0.0,0.062035285,7.289182e-5,0.47774267,0.14486776,E
130,-111.11573,39.51385,0.0,0.0,0.06308296,0.0,0.51694417,0.12897797,E
131,-111.1235,39.49358,0.0064887465,0.043616235,0.03358244,0.13390164,0.37815893,0.1314026,E
132,-111.19184,39.30135,0.11629733,0.113360085,0.0,0.034450755,0.3594398,0.086362116,E
133,-111.03656,39.73802,0.001511747,0.0,0.14182955,9.129129e-5,0.3789543,0.13637856,E
134,-111.211,39.24774,0.664812,0.0,0.07063827,0.034281768,0.0,0.04956494,A
135,-111.19184,39.30219,0.1081342,0.10958398,0.0,0.038027022,0.35845345,0.089281335,E
136,-111.10684,39.54302,0.0,0.039980657,0.10226297,0.0,0.38336593,0.15292633,E
