Name,X,Y,A,B,C,D,E,Signal
77,-111.0785,39.52997,0.15019158,0.1465277,0.0,0.037492275,0.0,A
78,-111.15128,39.32691,0.16560192,0.23286195,0.0934714,0.0,0.008848765,A
79,-111.1485,39.33497,0.0066711456,0.04399574,0.15813704,0.0020028823,0.0010621893,C
80,-111.09739,39.48413,0.005576065,0.062418267,0.155755,0.00060260185,0.0013190465,C
81,-111.08322,39.5258,0.15864807,0.16610102,0.0,0.034455553,0.0,A
82,-111.14573,39.35024,0.1719263,0.19119956,0.015337927,0.027138311,0.0007950191,A
83,-111.14878,39.34219,0.04933025,0.020881906,0.16983801,0.001094941,0.0026481913,B
84,-111.09906,39.48441,0.0042351624,0.05635725,0.15853064,0.00045402773,0.0009774626,C
85,-111.0835,39.52913,0.18241173,0.17866172,0.0,0.03470681,0.0,A
86,-111.09934,39.48524,0.14441781,0.18200427,0.0,0.035860304,0.0016223553,A
87,-111.11323,39.45163,0.16176896,0.18819399,0.0,0.033364635,0.0,A
88,-111.07906,39.55024,0.11837822,0.24396335,0.0,0.0662533,0.00018605625,A
89,-110.84127,40.21218,0.18617558,0.23127864,0.23887928,0.001344334,0.03694826,A
90,-111.16073,39.32302,0.17445199,0.27200744,0.07848297,3.221608e-7,0.013655357,A
91,-111.15823,39.33052,0.15350011,0.18509617,0.028890688,0.02340118,0.00014477498,A
92,-111.10906,39.47608,0.15605569,0.1796774,0.0,0.036082383,0.00045357874,A
93,-111.09961,39.50441,0.14337307,0.18932463,0.0,0.034911703,0.0,A
94,-111.15878,39.34274,0.007151372,0.013707842,0.17133442,0.0014662482,0.002306501,C
