Name,X,Y,A,B,C,Signal
4065,-112.27422,40.66683,0.15178707,0.4083643,0.12984554,B
4066,-111.74878,42.08926,0.4209035,0.19221051,0.1776602,A
4067,-112.29245,40.61689,0.1874219,0.4016928,0.13083239,B
4068,-112.12022,41.08994,0.38310596,0.3621853,0.07410925,A
4069,-112.27156,40.67722,0.18846957,0.4308336,0.12978256,B
4070,-112.67773,39.53856,0.3819677,0.30645648,0.05982033,A
4071,-113.50495,37.0972,0.6217617,0.08091757,0.09073383,A
4072,-112.48023,40.09772,0.21013518,0.34550816,0.06618649,B
4073,-112.27678,40.66394,0.15338284,0.40916437,0.12877986,B
4074,-112.47995,40.09856,0.19533585,0.33861214,0.067235455,B
4075,-112.29717,40.608,0.18305519,0.3951375,0.13562565,B
4076,-112.2955,40.61272,0.18601382,0.39805192,0.13258953,B
4077,-112.29106,40.62633,0.13900171,0.3797922,0.13154,B
4078,-112.29495,40.61578,0.18585375,0.39848956,0.13148402,B
4079,-113.49579,37.12859,0.55440116,0.088763125,0.0946109,A
4080,-111.86133,41.7966,0.45133775,0.19983868,0.15710782,A
4081,-112.29189,40.62633,0.1752503,0.40219226,0.1269005,B
4082,-112.33078,40.51924,0.1911347,0.37569577,0.15480635,B
4083,-111.89133,41.71771,0.44820076,0.19422045,0.15876591,A
4084,-112.11328,41.11772,0.36882126,0.3455343,0.07609646,A
4085,-113.47995,37.18054,0.52752537,0.07750356,0.11001084,A
4086,-112.96634,38.71302,0.42715648,0.26785892,0.073753476,A
4087,-112.278,40.66689,0.16249241,0.41419545,0.12775172,B
4088,-112.29773,40.6155,0.16013221,0.38903773,0.13205598,B
4089,-111.81439,41.92798,0.46531594,0.2033495,0.16554432,A
4090,-111.82245,41.90715,0.4628973,0.20624848,0.16039519,A
4091,-112.34812,40.47681,0.16777466,0.36288822,0.14268954,B
4092,-111.85467,41.82243,0.45346838,0.20413263,0.15395582,A
4093,-112.66745,39.58162,0.37211603,0.31377438,0.05681971,A
4094,-112.30356,40.60272,0.1854552,0.39282623,0.13721189,B
4095,-112.28911,40.643,0.17310476,0.41019037,0.12418587,B
4096,-112.29745,40.62106,0.1442197,0.3820863,0.13179938,B
4097,-112.30273,40.60661,0.15865521,0.3846697,0.13509758,B
4098,-111.92106,41.64715,0.4743454,0.20872821,0.16197911,A
4099,-112.29967,40.61522,0.21047986,0.40546292,0.13037574,B
4100,-112.29411,40.63106,0.18854886,0.40526688,0.126759,B
4101,-112.313,40.57967,0.15971172,0.37765142,0.14648017,B
4102,-112.29967,40.61717,0.18785176,0.39888728,0.13015644,B
4103,-112.66884,39.58162,0.3600961,0.31392652,0.056657027,A
4104,-112.05855,41.278,0.38585338,0.3148773,0.08013982,A
4105,-111.84578,41.8516,0.45794,0.20679994,0.15352418,A
4106,-112.4094,40.31411,0.2257931,0.36267295,0.0988318,B
4107,-111.86245,41.80826,0.45462963,0.20183712,0.15485874,A
4108,-112.30356,40.60883,0.18687752,0.39549062,0.13396749,B
4109,-112.28717,40.65467,0.19198097,0.41971308,0.12476449,B
4110,-111.8305,41.89493,0.44822672,0.20206231,0.15966691,A
4111,-112.29911,40.62328,0.1507437,0.38356298,0.13089791,B
4112,-112.30689,40.60189,0.18433435,0.39048183,0.13781969,B
4113,-111.92467,41.64438,0.4736264,0.21217081,0.15955886,A
4114,-111.85745,41.82465,0.39558756,0.2045771,0.15550488,A
4115,-111.91578,41.66854,0.46205497,0.20221886,0.15931317,A
4116,-111.93272,41.62438,0.42205447,0.22028404,0.16107288,A
4117,-111.87717,41.7741,0.44240165,0.19440101,0.15502752,A
4118,-112.30578,40.60883,0.19999954,0.39754775,0.13272974,B
4119,-111.82967,41.90271,0.45584917,0.20450546,0.15973541,A
4120,-112.28717,40.66189,0.16734803,0.41204524,0.12374724,B
4121,-112.38689,40.38606,0.19516861,0.34758857,0.12351152,B
4122,-113.51856,37.08915,0.6158198,0.08362014,0.08803945,A
4123,-111.82967,41.90743,0.40830237,0.20553233,0.16054702,A
4124,-112.30495,40.61661,0.15298834,0.38252717,0.13207315,B
4125,-113.52999,37.05488,0.6211451,0.0862473,0.08523465,A
4126,-111.79078,42.01132,0.4372533,0.20464903,0.17299893,A
4127,-112.05328,41.30744,0.4520858,0.31172526,0.08452028,A
4128,-112.30439,40.6205,0.18823908,0.39838722,0.12842639,B
4129,-112.12272,41.11939,0.45160958,0.36778075,0.058990315,A
4130,-111.17692,43.61231,0.20356618,0.17888589,0.29727402,C
4131,-112.09383,41.19856,0.40133724,0.32459265,0.090510234,A
4132,-112.12217,41.12161,0.38784075,0.35210738,0.06383361,A
4133,-112.093,41.20133,0.3833844,0.32513103,0.09101326,A
4134,-111.91828,41.67382,0.46857893,0.20508732,0.15600717,A
4135,-111.82967,41.91132,0.462012,0.2036595,0.16090666,A
4136,-111.873,41.79604,0.45474872,0.19938417,0.1549792,A
4137,-112.31467,40.5955,0.1827489,0.3838496,0.13960335,B
4138,-111.54994,42.65259,0.21323174,0.34121388,0.16961977,B
4139,-112.3605,40.46967,0.20611645,0.37255844,0.13549042,B
4140,-112.29106,40.66217,0.16818097,0.41466606,0.12422262,B
4141,-112.31189,40.60467,0.15904127,0.38176405,0.13523781,B
4142,-111.90161,41.72215,0.4496175,0.19719839,0.15395772,A
4143,-112.30911,40.61272,0.18129571,0.39068645,0.13273364,B
4144,-111.91106,41.69938,0.4035724,0.20347637,0.15505822,A
4145,-112.31161,40.60828,0.18167074,0.38952726,0.13410088,B
4146,-111.88661,41.76576,0.44923645,0.19575366,0.15268998,A
4147,-112.03578,41.36411,0.46764845,0.29404265,0.11311478,A
4148,-112.30911,40.61633,0.18834323,0.3954146,0.12978806,B
4149,-113.13024,38.27052,0.44052127,0.2731267,0.09810005,A
4150,-112.12355,41.12717,0.38225102,0.3514652,0.061887447,A
4151,-112.30967,40.61661,0.16381708,0.38339436,0.1326442,B
4152,-112.31161,40.61355,0.18781407,0.39446685,0.13072693,B
4153,-111.26883,43.38964,0.11377102,0.2260988,0.19061787,B
4154,-111.93383,41.64438,0.40754095,0.21660185,0.15636322,A
4155,-112.73801,39.41551,0.34431243,0.29206434,0.054932564,A
4156,-111.94356,41.61854,0.40707543,0.22487138,0.15682344,A
4157,-112.31634,40.60189,0.18551,0.38753814,0.1365215,B
4158,-111.86467,41.83132,0.46545404,0.20350328,0.1524662,A
4159,-112.35078,40.50828,0.17726168,0.3627569,0.14826012,B
4160,-112.38412,40.41606,0.18357553,0.34354076,0.124556646,B
4161,-112.73745,39.4219,0.37328902,0.30203518,0.05438067,A
4162,-112.98134,38.71746,0.41558516,0.27436838,0.072502226,A
4163,-112.31467,40.61161,0.1853499,0.38958853,0.13187812,B
4164,-112.29748,40.65994,0.19510408,0.428151,0.121670224,B
4165,-112.10772,41.18217,0.37481225,0.33074665,0.081553206,A
4166,-111.89245,41.76493,0.45243254,0.19772989,0.15084317,A
4167,-112.38689,40.41661,0.18573487,0.34388435,0.12485081,B
4168,-113.51249,37.13828,0.55839604,0.07909842,0.10141182,A
4169,-113.51245,37.13887,0.5374273,0.08166884,0.10170358,A
4170,-113.02718,38.5908,0.4227959,0.25430787,0.08813235,A
4171,-112.06355,41.30578,0.40860093,0.30866322,0.08914431,A
4172,-112.12744,41.133,0.39457744,0.35024318,0.057046186,A
4173,-113.51384,37.13748,0.55271584,0.07761055,0.10228362,A
4174,-111.57664,42.60608,0.46572742,0.18778291,0.18636997,A
4175,-111.82745,41.94382,0.3989448,0.20226261,0.16624196,A
4176,-111.88939,41.77937,0.45568144,0.2006928,0.14973523,A
4177,-112.31662,40.61689,0.16962586,0.38560086,0.12954077,B
4178,-112.11189,41.17911,0.3813733,0.33086503,0.07789591,A
4179,-113.43412,37.38331,0.40894118,0.08203099,0.15891019,A
4180,-111.19048,43.60632,0.2352775,0.20592038,0.38948962,C
4181,-111.923,41.69104,0.46679133,0.20743792,0.14954704,A
4182,-111.543,42.69825,0.16377507,0.33600065,0.17035337,B
4183,-112.32328,40.60189,0.15734935,0.37595162,0.13494453,B
4184,-111.863,41.85354,0.45845336,0.20559119,0.15174852,A
4185,-111.86384,41.85132,0.45178425,0.20295541,0.15225855,A
4186,-112.04883,41.35355,0.40846345,0.2940167,0.11256383,A
4187,-111.86856,41.83882,0.39618525,0.20465545,0.15344378,A
4188,-112.04888,41.35354,0.41048184,0.29488504,0.11208238,A
4189,-112.12689,41.14189,0.38499346,0.3477363,0.056627255,A
4190,-112.64468,39.70245,0.41957623,0.29866272,0.057235077,A
4191,-112.09244,41.23606,0.37731045,0.3144907,0.088325776,A
4192,-111.89689,41.76465,0.4515753,0.19829974,0.14914851,A
4193,-112.04328,41.3705,0.38664314,0.28690803,0.119712055,A
4194,-111.86328,41.85521,0.4578995,0.20268211,0.15314513,A
4195,-111.93133,41.67326,0.45378196,0.21065468,0.15083534,A
4196,-111.82911,41.94687,0.3915744,0.20028043,0.16827025,A
4197,-112.31662,40.62383,0.188623,0.3939794,0.12665972,B
4198,-112.04467,41.36827,0.3843233,0.28727514,0.11848038,A
4199,-111.9205,41.70549,0.46551564,0.20515011,0.14837714,A
4200,-112.32689,40.59911,0.18207915,0.38693848,0.13368763,B
4201,-112.31412,40.63494,0.17706941,0.39334112,0.12644073,B
4202,-114.03551,35.51916,0.2946494,0.23832706,0.23363659,A
4203,-112.04661,41.36883,0.38628528,0.286844,0.11975562,A
4204,-112.328,40.59939,0.14207377,0.36456916,0.13790007,B
4205,-111.19083,43.61875,0.16565448,0.15104033,0.3578373,C
4206,-112.11328,41.19161,0.4388177,0.337409,0.07664796,A
4207,-111.55128,42.69292,0.16750117,0.34704655,0.16847265,B
4208,-111.91106,41.7416,0.43130037,0.20206858,0.1481024,A
4209,-112.328,40.60661,0.18572977,0.3841704,0.13252233,B
4210,-113.5219,37.13887,0.6030647,0.0730686,0.09955955,A
4211,-111.86189,41.87437,0.46751782,0.20407587,0.15369052,A
4212,-112.07966,41.288,0.43494797,0.31499827,0.08869476,A
4213,-112.31578,40.64189,0.19425291,0.40564436,0.122413315,B
4214,-112.11355,41.198,0.39169887,0.32527798,0.08368554,A
4215,-112.34773,40.5555,0.17824656,0.37353888,0.14692673,B
4216,-111.89161,41.79771,0.46071902,0.20305344,0.15024875,A
4217,-112.33245,40.59883,0.17754553,0.37638304,0.13691084,B
4218,-111.39022,43.11742,0.14050299,0.35163406,0.14819522,B
4219,-112.32912,40.60883,0.19112335,0.38792244,0.13042718,B
4220,-112.04133,41.39633,0.39724475,0.27797896,0.12576993,A
4221,-112.33245,40.60161,0.19580139,0.38830358,0.13191307,B
4222,-112.72162,39.50856,0.3586569,0.29319924,0.057320207,A
4223,-112.123,41.178,0.3869692,0.33623335,0.06948196,A
4224,-112.04106,41.40133,0.39629528,0.27762124,0.12611718,A
4225,-112.33189,40.60744,0.18364309,0.38562784,0.1317256,B
4226,-112.32078,40.63828,0.20596312,0.40418777,0.12265885,B
4227,-112.04106,41.40438,0.40104818,0.27367365,0.1277742,A
4228,-111.91189,41.75271,0.45844188,0.2025939,0.14469843,A
4229,-112.06467,41.34105,0.45729473,0.29446408,0.10979978,A
4230,-112.08883,41.27578,0.3977598,0.3096599,0.09308802,A
4231,-111.89106,41.8091,0.42403823,0.20826356,0.1479323,A
4232,-111.93467,41.69243,0.3909208,0.21148084,0.14819051,A
4233,-111.95143,41.64744,0.40420642,0.22270602,0.148971,A
4234,-112.33439,40.60355,0.16934516,0.3763862,0.13312279,B
4235,-112.073,41.31994,0.44437757,0.30774724,0.09756927,A
4236,-112.33412,40.6055,0.19428268,0.38495082,0.12987971,B
4237,-112.50079,40.14161,0.17189643,0.33702832,0.06634171,B
4238,-113.8769,36.05332,0.38450435,0.29336414,0.07277825,A
4239,-112.06678,41.34094,0.45793772,0.2949979,0.10970701,A
4240,-112.33134,40.61689,0.18666852,0.3811733,0.12994134,B
4241,-112.338,40.59911,0.21693182,0.38326168,0.13467155,B
4242,-111.18075,43.66875,0.17940716,0.1609592,0.35068503,C
4243,-112.70579,39.56689,0.36822146,0.30503243,0.053075295,A
4244,-112.43134,40.34022,0.19513561,0.33173394,0.11007372,B
4245,-112.69607,39.59578,0.38560653,0.30831414,0.051125802,A
4246,-112.69609,39.59575,0.38496745,0.307967,0.051187288,A
4247,-112.33856,40.59911,0.21313246,0.38546237,0.13387404,B
4248,-113.53384,37.12637,0.59633213,0.07009017,0.0999966,A
4249,-112.03383,41.4341,0.487831,0.27338493,0.12541285,A
4250,-111.54467,42.73381,0.20929682,0.3383063,0.17989701,B
4251,-111.89189,41.8166,0.46201882,0.20233087,0.14848135,A
4252,-112.43662,40.32967,0.19183148,0.32982245,0.10699442,B
4253,-112.42273,40.36883,0.24063653,0.35804877,0.11000002,B
4254,-112.06855,41.34216,0.414125,0.29717982,0.10946357,A
4255,-111.70745,42.30826,0.49663994,0.19407247,0.18139988,A
4256,-111.70758,42.30822,0.5120256,0.19293712,0.18126026,A
4257,-112.07133,41.33633,0.42281237,0.2954806,0.108808525,A
4258,-112.07138,41.33634,0.4213911,0.29552624,0.10893006,A
4259,-113.54849,37.08738,0.59757054,0.07903666,0.091163315,A
4260,-112.1105,41.23189,0.43217176,0.32845253,0.08310177,A
4261,-113.52912,37.14804,0.55717045,0.06819775,0.106854975,A
4262,-112.76245,39.41523,0.38269377,0.29910415,0.050083455,A
4263,-112.34273,40.59689,0.19836627,0.39552468,0.1309865,B
4264,-112.04161,41.42133,0.4036969,0.2670821,0.13017087,A
4265,-113.51745,37.18693,0.517888,0.067309715,0.11767039,A
4266,-112.343,40.59717,0.18065596,0.38517678,0.13305125,B
4267,-111.47539,42.92289,0.16046594,0.3223732,0.16222739,B
4268,-112.76495,39.41079,0.3546934,0.29249805,0.049968872,A
4269,-112.76379,39.41495,0.38597995,0.29955843,0.049556237,A
4270,-112.4194,40.38772,0.23954542,0.35855773,0.11180379,B
4271,-111.90467,41.79521,0.45507327,0.20170015,0.14875762,A
4272,-112.09328,41.288,0.3845816,0.30701923,0.097123034,A
4273,-111.19522,43.64908,0.20435661,0.19243161,0.29224426,C
4274,-111.91828,41.7616,0.46505487,0.20328102,0.14133883,A
4275,-112.03356,41.45494,0.39295712,0.26261064,0.12900758,A
4276,-112.06744,41.36383,0.39288116,0.29065615,0.120667964,A
4277,-111.29,43.41222,0.1460274,0.22268517,0.1550275,B
4278,-111.92606,41.74548,0.4672277,0.20845509,0.13852794,A
4279,-111.88708,41.84993,0.42563632,0.21337174,0.14642063,A
4280,-113.17774,38.22302,0.41106254,0.2682484,0.09823057,A
4281,-112.32773,40.65328,0.19412617,0.40218285,0.12100951,B
4282,-112.02356,41.4841,0.4281788,0.26533437,0.12601374,A
4283,-112.43023,40.36967,0.22293009,0.34245062,0.11206169,B
4284,-111.29328,43.40603,0.13838108,0.24404165,0.16808136,B
4285,-111.94689,41.6916,0.48095292,0.213657,0.14090954,A
4286,-112.00689,41.53077,0.41100222,0.26488706,0.13314801,A
4287,-111.88828,41.84993,0.5788876,0.21236028,0.14382403,A
4288,-111.95356,41.67521,0.42699984,0.21783066,0.14456238,A
