Name,X,Y,A,B,C,D,Signal
3744,-113.03051,38.32525,0.4316613,0.35797775,0.45384702,0.11942698,A
3745,-113.02357,38.34636,0.41012102,0.36117706,0.45796806,0.11502744,A
3746,-113.02857,38.33163,0.41672477,0.35867202,0.45665342,0.11828778,A
3747,-112.1705,40.77633,0.37493387,0.54859036,0.18726659,0.15195945,B
3748,-111.20939,43.32909,0.28160775,0.29514995,0.14449699,0.25067306,C
3749,-113.01857,38.36441,0.3651763,0.37169436,0.4371315,0.107914,A
3750,-111.97022,41.32439,0.30636245,0.49159095,0.5450449,0.06602138,A
3751,-111.83272,41.69521,0.27738258,0.36030987,0.6042706,0.1579856,A
3752,-113.02857,38.33524,0.4256938,0.3585995,0.4547587,0.11795343,A
3753,-111.97578,41.30966,0.37974423,0.48746786,0.57710475,0.06370511,A
3754,-113.01479,38.37897,0.38756168,0.37271982,0.4550788,0.10980554,A
3755,-113.01979,38.36497,0.38440448,0.37292323,0.45430887,0.11114106,A
3756,-113.01023,38.39441,0.38405982,0.3699403,0.4559917,0.10764042,A
3757,-113.02912,38.33886,0.42690447,0.36006898,0.45593148,0.116714545,A
3758,-113.02496,38.35358,0.42720246,0.3606377,0.45937866,0.115196295,A
3759,-112.64245,39.46467,0.32220712,0.41118938,0.36732554,0.07056246,A
3760,-113.02551,38.35386,0.42096034,0.36299655,0.45649874,0.114165716,A
3761,-113.01162,38.39497,0.36357898,0.3832954,0.44131276,0.10315577,A
3762,-113.01279,38.39197,0.37604535,0.37787452,0.45962486,0.106807254,A
3763,-111.82578,41.72438,0.29231513,0.3617907,0.5893209,0.15233713,A
3764,-113.03635,38.32413,0.43474284,0.36461768,0.4485117,0.11770445,A
3765,-113.01301,38.39302,0.37479362,0.37367925,0.4532283,0.10634596,A
3766,-113.0244,38.3608,0.39107394,0.36776313,0.4451749,0.11036558,A
3767,-113.04829,38.29108,0.44414732,0.35805342,0.4293435,0.123104714,A
