,NPV
781,-1271890000.0
782,-9583890.0
783,36395400.0
784,1239100.0
785,-25251300.0
786,-25251300.0
787,-20120900.0
788,-20122800.0
789,-21286100.0
790,-25046500.0
791,-25061900.0
792,-25093700.0
793,-25251300.0
794,-25251300.0
795,-20391000.0
796,-20970900.0
797,-22105200.0
798,-23802500.0
799,-25006400.0
800,-23589200.0
801,-23821500.0
802,-25158400.0
803,-24271600.0
804,-25251300.0
805,-22990300.0
806,-24923100.0
807,-23740200.0
808,-20481000.0
809,-22339500.0
810,-9604740.0
811,-1260800.0
812,-1311580.0
813,-3192200.0
814,-15955600.0
815,-10155000.0
816,-9567690.0
817,-24567400.0
818,-23103600.0
819,-19004100.0
820,-22290200.0
821,-18066700.0
822,-6408580.0
823,-22993700.0
824,-21306600.0
825,-23145300.0
826,-22166000.0
827,-24546200.0
828,-23360500.0
829,-24368400.0
830,-22403900.0
831,-17576200.0
832,305287.0
833,-19289300.0
834,-16968200.0
835,32738100.0
836,-19844600.0
837,-18498700.0
838,19903600.0
839,-21416400.0
840,-24932100.0
841,-16681400.0
842,-21975300.0
843,-22505600.0
844,-17822500.0
845,-18407600.0
846,-21834300.0
847,-18400400.0
848,-20391700.0
849,-4879930.0
850,-11325300.0
851,-24561600.0
852,-24932100.0
853,-22285500.0
854,-10852700.0
855,-18920300.0
856,-32559100.0
857,-15894400.0
858,3829850.0
859,-2864020.0
860,-22149900.0
861,-24756100.0
862,-24748000.0
863,-23162800.0
864,-35358500.0
865,-14305100.0
866,-16242300.0
867,-14763000.0
868,-22757000.0
869,-14740100.0
870,-24771600.0
871,-25202900.0
872,-28085800.0
873,-25551200.0
874,-34245900.0
875,-16696500.0
876,-19668900.0
877,-24813900.0
878,-13044600.0
879,-24080000.0
880,-24855600.0
881,-24823200.0
882,-24771900.0
883,-23684200.0
884,-180812000.0
885,7837380.0
886,-2885950.0
887,62229000.0
888,47975800.0
889,-2668480.0
890,-6575670000.0
891,8076250.0
892,16139100.0
893,3302470.0
894,-20340500.0
895,-14372500.0
896,-7538750.0
897,39728500.0
898,20557400.0
899,-20056900.0
900,-20492600.0
901,57289700.0
902,43433100.0
903,-4202290.0
904,527977000.0
905,-25105200.0
906,-25248000.0
907,-24669300.0
908,-25054200.0
909,-24201300.0
910,-12635100.0
911,-22914500.0
912,10876500.0
913,-13492000.0
914,-21317600.0
915,-24278600.0
916,-22416700.0
917,-16429400.0
918,-17655500.0
919,-22953900.0
920,-22723600.0
921,-17986500.0
922,-14904700.0
923,-23597700.0
924,-24997800.0
925,-25418300.0
926,-24969700.0
927,-25418300.0
928,-25418300.0
929,-25375100.0
930,-23891600.0
931,-25418300.0
932,-24986200.0
933,-23395800.0
934,-41470300.0
935,31257300.0
936,74951500.0
937,-872576000.0
938,83764800.0
939,-25282800.0
940,-212795000.0
941,-33198200.0
942,-405022000.0
943,-966042000.0
944,8298440.0
945,26814700.0
946,-4464670.0
947,32478100.0
948,21461000.0
949,56532800.0
950,28630000.0
951,-22187300.0
952,-9130990000.0
953,21587100.0
954,-19847400.0
955,-374395000.0
956,-222643000.0
957,-21543300.0
958,-615343000.0
959,-25199000.0
960,-25161800.0
961,-25189600.0
962,-25158000.0
963,-25159600.0
964,-28581400.0
965,-29199600.0
966,-26676500.0
967,-25159600.0
968,-15412800.0
969,-1088530.0
970,-23645100.0
971,-10894200.0
972,313736000.0
973,-25156900.0
974,-25274100.0
975,-25406400.0
976,-25178900.0
977,-25158800.0
978,-25453800.0
979,-20883300.0
980,-17501900.0
981,-5504890.0
982,-24398700.0
983,3590720.0
984,-25741800.0
985,-25741800.0
986,-25742400.0
987,-25741800.0
988,-25741900.0
989,-24054000.0
990,-16554000.0
991,-14359100.0
992,-18722500.0
993,-21572100.0
994,-24862400.0
995,-20275100.0
996,-20242500.0
997,-20853800.0
998,-22416600.0
999,-14170100.0
1000,-25741800.0
1001,-25741800.0
1002,-12625900.0
1003,-17027400.0
1004,-20551600.0
1005,-17853800.0
1006,-16794500.0
1007,-22288400.0
1008,-20553300.0
1009,-24775200.0
1010,-24932600.0
1011,-24932600.0
1012,-24932600.0
1013,-24932600.0
1014,-17477500.0
1015,-24729800.0
1016,-18514600.0
1017,-18761000.0
1018,-24992500.0
1019,-24932600.0
1020,-24865900.0
1021,-24932600.0
1022,-24932600.0
1023,-24932600.0
1024,-24932600.0
1025,-24796600.0
1026,-24932600.0
1027,-24825900.0
1028,-24932600.0
1029,-15244900.0
1030,1092560.0
1031,-14225200.0
1032,-11767200.0
1033,3768060.0
1034,-19568500.0
1035,-18356900.0
1036,-13725600.0
1037,-24446100.0
1038,-24439200.0
1039,-24439200.0
1040,-21589800.0
1041,-23577100.0
1042,-21792400.0
1043,-24439200.0
1044,-17540300.0
1045,-8525170.0
1046,-16223200.0
1047,-19413000.0
1048,-13262500.0
1049,-16656500.0
1050,-15071100.0
1051,-18319500.0
1052,-16318300.0
1053,-13006500.0
1054,-17212200.0
1055,-17335700.0
1056,-17328400.0
1057,-17895700.0
1058,361679000.0
1059,-7054190.0
1060,-25006600.0
1061,-25199400.0
1062,-13928600.0
1063,-23707100.0
1064,25166500.0
1065,-2651300.0
1066,17337400.0
1067,50676800.0
1068,-15727300.0
1069,35047600.0
1070,-18516800.0
1071,-20651000.0
1072,-18631800.0
1073,22858700.0
1074,-16340900.0
1075,11828400.0
1076,2358550.0
1077,-15613700.0
1078,-5982250.0
1079,-22166700.0
1080,-37221300.0
1081,-24601500.0
1082,-22792100.0
1083,-24125800.0
1084,-16802900.0
1085,-20196500.0
1086,-21887800.0
1087,-24968200.0
1088,-18163800.0
1089,-18452500.0
1090,-20003400.0
1091,-24457400.0
1092,-20837100.0
1093,-19276900.0
1094,-23649700.0
1095,-24848600.0
1096,-27310200.0
1097,-23459600.0
1098,-24546600.0
1099,-24064400.0
1100,-21412500.0
1101,-23394100.0
1102,-31078000.0
1103,-18075900.0
1104,-23557000.0
1105,-25199100.0
1106,-21578500.0
1107,-25660300.0
1108,-23227600.0
1109,-21343600.0
1110,-19403000.0
1111,-23106800.0
1112,-18793200.0
1113,-23078800.0
1114,-24079900.0
1115,-24456600.0
1116,-14684900.0
1117,-15615400.0
1118,-25660300.0
1119,-23984800.0
1120,-25660300.0
1121,-25007000.0
1122,-24126700.0
1123,-25660300.0
1124,-25660300.0
1125,-18034400.0
1126,-23614900.0
1127,-22700600.0
1128,-25660300.0
1129,-7228090.0
1130,-19975000.0
1131,-16719000.0
1132,-14962500.0
1133,-12554100.0
1134,-21051400.0
1135,-23392400.0
1136,-23666300.0
1137,-22763100.0
1138,-18961900.0
1139,-12641800.0
1140,-21648100.0
1141,-8745120.0
1142,-16037700.0
1143,-18166200.0
1144,-21022100.0
1145,-14437700.0
1146,-20994200.0
1147,-21553900.0
1148,-18153300.0
1149,-23841400.0
1150,-23080300.0
1151,-17364700.0
1152,-19307900.0
1153,-17229600.0
1154,-23308400.0
1155,-12286500.0
1156,-12385000.0
1157,-16542900.0
1158,-19194100.0
1159,-13127300.0
1160,-8516220.0
1161,-20478500.0
1162,349377000.0
1163,-28014300.0
1164,21379700.0
1165,336750000.0
1166,13743800.0
1167,-4405490.0
1168,-15291000.0
1169,-24717500.0
1170,1217700.0
1171,-5155260.0
1172,-4224450.0
1173,-8024940.0
1174,397669000.0
1175,-7981460.0
1176,-1216320.0
1177,1001200000.0
1178,115291000.0
1179,-14436000.0
1180,-18960700.0
1181,-8666450.0
1182,-4569440.0
1183,-5739400.0
1184,-28231700.0
1185,-532895000.0
1186,-25679100.0
1187,-25468600.0
1188,-43807100.0
1189,-1663880000.0
1190,-35199300.0
1191,-89958200000.0
1192,-137089000.0
1193,-25204700.0
1194,-5932250.0
1195,-19779000.0
1196,-13302300.0
1197,-20386700.0
1198,-18123300.0
1199,-23103000.0
1200,-20783000.0
1201,-21713000.0
1202,-23053200.0
1203,-23896500.0
1204,-19476900.0
1205,-60088600.0
1206,-23743700.0
1207,-21154800.0
1208,-25050700.0
1209,-24542700.0
1210,-25025000.0
1211,-24849900.0
1212,-31884700.0
1213,-25025200.0
1214,-11718900.0
1215,-13808200.0
1216,-22882700.0
1217,-14338900.0
1218,151112.0
1219,23020700.0
1220,-25053500.0
1221,15603400.0
1222,-90843200.0
1223,10502300.0
1224,19652300.0
1225,-3316540.0
1226,-14109300.0
1227,-26023700.0
1228,-20491200.0
1229,-9224830.0
1230,-14851200.0
1231,-11913700.0
1232,-25452300.0
1233,-7915580.0
1234,-5128850.0
1235,-11143000.0
1236,-76101800.0
1237,-12207200.0
1238,-16142200.0
1239,-17690400.0
1240,-24208100.0
1241,-16732100.0
1242,-129098000.0
1243,-21476100.0
1244,-16251000.0
1245,-22896100.0
1246,-11070300.0
1247,-19085500.0
1248,-21555800.0
1249,-15354300.0
1250,-18955100.0
1251,-20181600.0
1252,-17298200.0
1253,-20189600.0
1254,-23132100.0
1255,-22984700.0
1256,-23714200.0
1257,-21237000.0
1258,-23346000.0
1259,-23832500.0
1260,-24539600.0
1261,-25482100.0
1262,-24333100.0
1263,-20478100.0
1264,-25482200.0
1265,-25482800.0
1266,-25482200.0
1267,-25482300.0
1268,-25100500.0
1269,-24484900.0
1270,-24320100.0
1271,-24430900.0
1272,-24431200.0
1273,-25482100.0
1274,-25482900.0
1275,60523300.0
1276,392958000.0
1277,45912300.0
1278,79811800.0
1279,7761480.0
1280,-9092300.0
1281,29054400.0
1282,373107000.0
1283,-16935800.0
1284,-11118200.0
1285,-24911000.0
1286,-12841600.0
1287,-16863600.0
1288,-23957800.0
1289,-16625400.0
1290,608587000.0
1291,650196000.0
1292,-9491800.0
1293,-18944400.0
1294,-6228230.0
1295,-24959300.0
1296,543994000.0
1297,-24055800.0
1298,-24911000.0
1299,227094000.0
1300,5522320.0
1301,-13259100.0
1302,1857360.0
1303,-24758700.0
1304,-21066700.0
1305,-23164800.0
1306,-19429200.0
1307,-24083700.0
1308,-20507900.0
1309,-25389900.0
1310,-47644100.0
1311,-19705700.0
1312,-15309100.0
1313,-18865000.0
1314,-17797500.0
1315,-21104600.0
1316,-23197900.0
1317,-23438700.0
1318,-23998500.0
1319,-20616700.0
1320,24182100.0
1321,-14367400.0
1322,23706000.0
1323,20546900.0
1324,-20664400.0
1325,-26073100.0
1326,-13084800.0
1327,-25751700.0
1328,-23528400.0
1329,-14877500.0
1330,113031000.0
1331,8362020.0
1332,-18313600.0
1333,-14887700.0
1334,-14599000.0
1335,-18534600.0
1336,-21435000.0
1337,-14901400.0
1338,-12828100.0
1339,-14682400.0
