,hpro:0.000,hpro:0.750,hpro:1.500,hpro:2.250,hpro:3.000,hpro:3.750,hpro:4.500,hpro:5.250,hpro:6.000,hpro:6.750,hpro:7.500,hpro:8.250,hpro:9.000,hpro:9.750,hpro:10.500,hpro:11.250,hpro:12.000,hpro:12.750,hpro:13.500,hpro:14.250,hpro:15.000,hpro:15.750,hpro:16.500,hpro:17.250,hpro:18.000,hpro:18.750,hpro:19.500,hpro:20.250,hpro:21.000,hpro:21.750,hpro:22.500,hpro:23.250,hpro:24.000,hpro:24.750,hpro:25.500,hpro:26.250,hpro:27.000,hpro:27.750,hpro:28.500,hpro:29.250
1283,876.317,876.317,876.317,876.317,876.317,876.317,876.317,876.317,876.317,876.316,876.316,876.316,876.316,876.316,876.315,876.315,876.315,876.315,876.315,876.315,876.315,876.315,876.315,876.315,876.314,876.314,876.314,876.314,876.314,876.314,876.314,876.314,876.314,876.314,876.314,876.314,876.314,876.314,876.314,876.314
1284,876.31,876.31,876.31,876.31,876.31,876.31,876.31,876.309,876.309,876.309,876.309,876.309,876.309,876.309,876.309,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308,876.308
1285,431.487,430.811,348.582,325.18,312.75,304.093,299.49,294.436,290.385,287.044,284.226,281.806,279.697,277.837,276.18,274.691,273.345,272.118,270.994,269.96,269.004,268.117,267.291,266.518,265.794,265.114,264.472,263.867,263.294,262.75,262.234,261.743,261.274,260.827,260.4,259.99,259.598,259.222,258.86,258.513
1286,876.31,876.31,876.31,876.31,876.31,876.31,876.309,876.309,876.309,876.309,876.309,876.309,876.309,868.785,858.314,846.942,824.429,812.458,801.696,792.713,782.688,774.173,765.931,759.331,752.112,745.165,738.561,732.198,726.172,720.453,715.682,709.725,704.75,699.842,695.149,690.619,686.249,681.272,677.035,673.077
1287,876.303,876.303,868.961,780.53,726.938,688.012,658.988,635.476,617.038,600.105,585.338,572.562,561.24,551.096,541.935,533.603,524.929,517.923,511.526,506.226,500.657,495.445,490.555,485.955,481.616,477.515,473.63,469.942,466.434,463.094,459.906,456.861,453.947,451.155,448.476,445.904,443.431,441.05,438.757,436.546
1288,597.051,596.198,470.48,427.293,402.853,386.125,373.703,363.275,357.115,350.408,344.694,339.76,335.442,331.62,328.206,325.131,322.341,319.796,317.46,315.307,313.313,311.461,309.733,308.116,306.599,305.172,303.827,302.555,301.35,300.207,299.12,298.085,297.098,296.155,295.253,294.389,293.561,292.766,292.002,291.267
1289,876.319,876.319,876.319,876.319,876.319,876.319,876.319,876.318,876.318,876.318,876.318,876.317,876.317,876.317,876.317,876.317,876.317,876.317,876.316,876.316,876.316,876.316,876.316,876.316,876.316,876.316,876.316,876.316,876.316,876.316,876.316,876.315,876.315,876.315,876.315,876.315,876.315,876.315,876.315,876.315
1290,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46
1291,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46
1292,876.301,876.301,876.286,834.916,778.197,735.747,703.042,675.961,654.799,636.683,621.719,607.456,594.886,583.287,573.125,563.874,555.4,547.597,540.379,532.686,526.401,520.621,515.2,510.098,505.964,501.39,497.041,492.908,488.976,485.229,481.653,478.234,474.962,471.826,468.816,465.925,463.144,460.467,457.887,455.399
1293,876.325,876.325,876.325,876.325,876.325,876.325,876.325,876.325,876.324,876.324,876.324,876.323,876.323,876.323,876.323,876.323,876.322,876.322,876.322,876.322,876.322,876.322,876.322,876.322,876.321,876.321,876.321,876.321,876.321,876.321,876.321,876.321,876.321,876.321,876.321,876.321,876.321,876.321,876.32,876.32
1294,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.306,876.305,876.185,868.693,860.429,852.003,843.721,832.041,817.631,809.787,802.442,795.437,787.704,781.299,775.267,770.235,764.615,759.115,753.823,748.595,743.65,738.936,734.359,730.104
