LATITUDE_NAD83,LONGITUDE_NAD83,TEMP_C,GEOTHERMOMETER_QUARTZ_C,GEOTHERMOMETER_CHALCEDONY_C,pH_FIELD,TDS_LAB,AL_PPM,B_PPM,BA_PPM,BE_PPM,BR_PPM,CA_PPM,CL_PPM,HCO3_PPM,K_PPM,LI_PPM,MG_PPM,NA_PPM,δO18
39.1533,-111.26795,13.333333333333334,38.64035419333333,5.905048906,8.233333333333334,,,0.2,,,,11.233333333333334,16.666666666666668,,0.4666666666666666,0.02,2.433333333333333,167.66666666666666,
39.29747,-111.21795,7.05,26.56898478,-6.3051939225,7.6,,0.015,0.04,0.09,,,40.5,31.0,,1.25,0.03,39.0,40.5,
38.98719000000001,-111.32712,9.0,25.90736547,-6.970753847,5.9,,,,,,,10.0,3.4,,1.1,,2.4,3.5,
39.00497,-111.32156,5.5,45.27805007,12.65775451,8.0,,,,,,,42.0,11.0,,1.4,,13.0,9.3,
39.28913,-111.22184,8.55,32.87334202,0.0531577270000001,7.45,,0.01,0.125,0.05,,,61.0,51.0,,1.6,0.05,52.0,102.0,
39.23524000000001,-111.241,7.0,29.80538087,-3.047255133,7.7,,,,,,,62.0,15.0,,1.3,,56.0,92.0,
39.3008,-111.21823,10.1,28.97334524,-3.885838932,7.75,,,0.05,,,,38.0,40.0,,1.1,,40.0,78.0,
39.56885,-111.12461,5.5,28.55037887,-4.311903106,7.4,,,,,,,76.0,3.3,,0.7,,21.0,3.8,
39.5158,-111.14406,8.0,,,7.6,,,,,,,,,,,,,,
39.23497,-111.24378,8.5,31.777941225,-1.0556930295,7.75,,,,,,,76.5,35.0,,1.7999999999999998,,62.0,165.0,
39.24858,-111.23989000000003,5.9,29.382528385,-3.473209391,8.2,,,,,,,45.5,34.0,,1.45,,45.0,210.0,
39.08691,-111.29712,6.5,31.41696437,-1.4212727040000002,8.1,,,,,,,22.0,23.0,,1.4,,14.0,250.0,
39.70357,-111.07934,4.1,27.68994495,-5.178158773,7.1,,,0.05,,,,81.0,4.1,,1.1,0.01,11.0,3.6,
39.31135,-111.21934,4.8,32.58290197,-0.243504812,7.3,,,0.09,,,,60.0,14.0,,1.3,,43.0,49.0,
39.31608,-111.21767,9.6,29.371129895,-3.484320395,7.6,,0.01,0.04,0.2,,,52.0,8.850000000000001,,0.9,0.03,37.5,19.0,
39.24719,-111.2435,7.0,28.55037887,-4.311903106,8.1,,,,,,,63.0,28.0,,1.3,,53.0,140.0,
39.51497,-111.14962,4.4,31.80952422,-1.024862298,7.2,,,0.03,,,,69.0,7.2,,2.6,0.01,50.0,6.8,
39.31608,-111.22017,6.85,32.58290197,-0.243504812,7.45,,,0.03,,,,38.0,8.4,,0.8,,34.0,40.0,
39.4133,-111.18628,6.4,22.5641549,-10.32532792,8.0,,,0.07,,,,66.0,3.9,,1.2,,29.0,7.8,
39.00692,-111.33129,7.0,45.27805007,12.65775451,7.1,,,,,,,33.0,8.9,,1.1,,10.0,8.6,
39.33274,-111.21906,4.2,,,7.5,,,,,,,,,,,,,,
39.33358,-111.21906,4.3,24.03456796,-8.851107547,7.2,,0.04,0.02,,,,83.0,6.1,,0.9,,33.0,11.0,
39.49802,-111.16128,5.0,26.80931205,-6.064084175,7.1,,,0.02,,,,69.0,4.1,,1.4,,37.0,3.9,
